IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.105	1	0	0	0	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03890	0.49150	27.4160	0.0645
10.73.137.105	1	0	1	1	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03892	0.47625	27.3970	0.0674
10.73.137.105	1	0	2	2	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03887	0.50375	27.3705	0.0237
10.73.137.105	1	0	3	3	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03884	0.52050	27.3678	0.0186
10.73.137.105	1	0	4	4	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03888	0.50350	27.3347	0.0222
10.73.137.105	1	0	5	5	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	0.46800	27.3933	0.0207
10.73.137.105	1	0	6	6	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03889	0.49400	27.4008	0.0658
10.73.137.105	1	0	7	7	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03891	0.48450	27.3925	0.0790
10.73.137.105	1	1	8	10	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03871	0.77875	27.3612	0.0850
10.73.137.105	1	1	10	12	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03876	0.75225	27.3912	0.0391
10.73.137.105	1	1	13	15	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03871	0.78450	27.3205	0.0454
10.73.137.105	1	1	15	17	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03868	0.80150	27.2933	0.0323
10.73.137.105	1	2	17	21	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03876	0.30375	41.9932	0.0300
10.73.137.105	1	2	19	23	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03877	0.29900	42.0720	0.0502
10.73.137.105	1	2	20	24	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03872	0.34825	42.0307	0.0314
10.73.137.105	1	2	22	26	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03876	0.30650	42.0117	0.0328
