IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.107	apa_1_afe_0_ch_0.root	1	0	0	0	FBK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1158	Apr-20-2024_1202	Good	0.126	0.208	720	28.669	0.038	0.03882	0.719	Good	0.024	0.214	Only polyfit	592	155	nan	nan	28.033	0.171
10.73.137.107	apa_1_afe_0_ch_2.root	1	0	2	2	FBK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1202	Apr-20-2024_1206	Good	0.125	0.230	720	28.671	0.036	0.03886	0.692	Good	0.020	0.246	Only polyfit	703	70	nan	nan	27.915	0.083
10.73.137.107	apa_1_afe_0_ch_5.root	1	0	5	5	FBK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1206	Apr-20-2024_1209	Good	0.124	0.253	720	28.677	0.041	0.03889	0.677	Good	0.024	0.238	Polyfit failed	nan	nan	nan	nan	nan	nan
10.73.137.107	apa_1_afe_0_ch_7.root	1	0	7	7	FBK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1209	Apr-20-2024_1213	Good	0.123	0.227	720	28.670	0.054	0.03879	0.741	Good	0.020	0.248	Polyfit failed	nan	nan	nan	nan	nan	nan
10.73.137.107	apa_1_afe_1_ch_8.root	1	1	8	10	HPK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1213	Apr-20-2024_1217	Good	0.125	0.614	1030	41.084	0.079	0.03878	1.137	Good	0.024	0.622	Only polyfit	217	45	nan	nan	40.851	0.093
10.73.137.107	apa_1_afe_1_ch_10.root	1	1	10	12	HPK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1217	Apr-20-2024_1220	Good	0.122	0.785	1120	44.561	0.041	0.03872	1.194	Good	0.022	0.734	Only polyfit	1529	149	nan	nan	42.918	0.165
10.73.137.107	apa_1_afe_1_ch_13.root	1	1	13	15	HPK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1220	Apr-20-2024_1224	Good	0.126	0.682	1110	44.179	0.031	0.03874	1.179	Good	0.029	0.675	Only polyfit	1512	165	nan	nan	42.555	0.180
10.73.137.107	apa_1_afe_1_ch_15.root	1	1	15	17	HPK	Apr-20-2024-run00	Apr-20-2024_1158	Apr-20-2024_1224	Apr-20-2024_1228	Good	0.122	0.716	1120	44.558	0.030	0.03870	1.211	Good	0.031	0.893	Only polyfit	1786	120	nan	nan	42.639	0.133
