IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.104	1	0	0	0	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03928	1.47725	27.4493	0.1024
10.73.137.104	1	0	1	1	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03929	1.47400	27.6455	0.0270
10.73.137.104	1	0	2	2	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03937	1.42675	27.4657	0.0632
10.73.137.104	1	0	3	3	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03936	1.43450	27.6155	0.0643
10.73.137.104	1	0	4	4	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03931	1.46350	27.4017	0.0777
10.73.137.104	1	0	5	5	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03932	1.45550	27.5132	0.0478
10.73.137.104	1	0	6	6	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03934	1.44675	27.4755	0.1015
10.73.137.104	1	0	7	7	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03935	1.44225	27.6035	0.2229
10.73.137.104	1	1	8	10	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03932	0.31225	41.8077	0.0225
10.73.137.104	1	1	9	11	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03931	0.31100	41.7725	0.0082
10.73.137.104	1	1	10	12	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03928	0.34975	41.7885	0.0682
10.73.137.104	1	1	11	13	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03936	0.27725	41.7248	0.0509
10.73.137.104	1	1	12	14	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03936	0.27425	41.8225	0.0256
10.73.137.104	1	1	13	15	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03933	0.29025	41.8183	0.0357
10.73.137.104	1	1	14	16	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03935	0.28275	41.8748	0.0557
10.73.137.104	1	1	15	17	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03932	0.30925	41.7758	0.0897
