EndCh   IV_NP04 ?   ?   IV_NP04_corrected   Coldboard_LN2T
11235	42.19	0.0389375	-0.41639	42.1882	41.63
11237	42.15	0.0389375	-0.41639	42.1509	41.44
11240	42.62	0.0391125	0.13447	42.6211	41.85
11242	42.64	0.0391125	0.13447	42.6246	42.33
11245	41.82	0.0391125	0.13447	41.8116	41.38
11247	41.8	0.0391125	0.13447	41.7941	41.08
11300	27.52	0.0391575	0.50686	27.5248	27.38
11302	27.43	0.0391575	0.50686	27.4166	27.07
11305	27.54	0.0391575	0.50686	27.5473	27.17
11307	27.44	0.0391575	0.50686	27.4364	26.88
