IP,APA,AFE,Config_CH,DAQ_CH,SIPM_type,Run,Bias_conversion_slope,Bias_conversion_intercept,New Vbd(V),New Vbd_error(V),RunFolder,Stringa_DAQch,End,Old Vbd(V),Old Vbd_error(V),Diff Old_New,Coldbox_LN2T Vbd(V),Coldbox_LN2T Vbd_error(V),Diff New_LN2T,Diff Old_LN2T,EndCh,End_AFE
10.73.137.104,1,1,14,16,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03849,0.954,27.3755,0.0926,Vbd_best_20241007,IP104_CH16,104,27.4277,0.0575,0.05220000000000269,26.76,,0.6154999999999973,0.6677,104_16,104_1
10.73.137.104,1,1,15,17,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.0384,0.995,27.275,0.0481,Vbd_best_20241007,IP104_CH17,104,27.4338,0.0855,0.15880000000000294,26.76,,0.514999999999997,0.6738,104_17,104_1
10.73.137.104,1,2,16,20,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.039,0.198,27.184,0.1541,Vbd_best_20241007,IP104_CH20,104,27.3927,0.082,0.20870000000000033,26.81,,0.37400000000000233,0.5827000000000027,104_20,104_2
10.73.137.104,1,2,17,21,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03904,0.1825,27.2015,0.0332,Vbd_best_20241007,IP104_CH21,104,28.0343,0.0562,0.8328000000000024,26.73,,0.4714999999999989,1.3043000000000013,104_21,104_2
10.73.137.104,1,2,18,22,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03894,0.239,27.2205,0.1195,Vbd_best_20241007,IP104_CH22,104,27.4384,0.0769,0.2179000000000002,26.65,,0.5705000000000027,0.7884000000000029,104_22,104_2
10.73.137.104,1,2,19,23,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03897,0.22,27.279,0.0905,Vbd_best_20241007,IP104_CH23,104,28.0044,0.063,0.7254000000000005,26.77,,0.5090000000000003,1.2344000000000008,104_23,104_2
10.73.137.104,1,2,20,24,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03898,0.22,27.15,0.2588,Vbd_best_20241007,IP104_CH24,104,28.0083,0.0897,0.8582999999999998,26.74,,0.41000000000000014,1.2683,104_24,104_2
10.73.137.104,1,2,21,25,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.039,0.201,27.1235,0.1336,Vbd_best_20241007,IP104_CH25,104,27.3563,0.1026,0.232800000000001,26.86,,0.2635000000000005,0.4963000000000015,104_25,104_2
10.73.137.104,1,2,22,26,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03902,0.196,27.3085,0.0163,Vbd_best_20241007,IP104_CH26,104,28.0189,0.0596,0.7103999999999999,26.66,,0.6484999999999985,1.3588999999999984,104_26,104_2
10.73.137.104,1,2,23,27,FBK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03898,0.213,26.983,0.0283,Vbd_best_20241007,IP104_CH27,104,27.3084,0.0827,0.32539999999999836,26.8,,0.18299999999999983,0.5083999999999982,104_27,104_2
