IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.112	4	0	0	0	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03900	0.44900	41.8915	0.0253
10.73.137.112	4	0	1	1	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03902	0.43275	41.8385	0.0331
10.73.137.112	4	0	2	2	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03897	0.48075	41.8927	0.0390
10.73.137.112	4	0	3	3	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03896	0.48400	41.8780	0.0338
10.73.137.112	4	0	4	4	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03901	0.44625	41.9565	0.0296
10.73.137.112	4	0	5	5	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03901	0.44075	41.9035	0.0355
10.73.137.112	4	0	6	6	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03899	0.46625	41.8745	0.0233
10.73.137.112	4	0	7	7	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03900	0.45175	41.8927	0.0269
10.73.137.112	4	1	8	10	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03905	0.25125	41.8293	0.0346
10.73.137.112	4	1	9	11	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03882	0.46800	38.9080	0.0992
10.73.137.112	4	1	10	12	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03904	0.26175	41.9368	0.0294
10.73.137.112	4	1	11	13	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03905	0.24825	42.1820	0.0416
10.73.137.112	4	1	12	14	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.15800	42.2680	nan
10.73.137.112	4	1	13	15	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03901	0.29075	41.9928	0.0259
10.73.137.112	4	1	14	16	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03905	0.25100	42.1958	0.0388
10.73.137.112	4	1	15	17	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03905	0.24950	42.0282	0.0288
10.73.137.112	4	2	16	20	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03904	0.98325	41.8895	0.0226
10.73.137.112	4	2	17	21	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03905	0.97350	41.9357	0.0168
10.73.137.112	4	2	18	22	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.91350	41.1118	0.1212
10.73.137.112	4	2	19	23	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03904	0.98375	41.9010	0.0432
10.73.137.112	4	2	20	24	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03905	0.98050	41.9630	0.0383
10.73.137.112	4	2	21	25	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03904	0.98150	42.2280	0.0406
10.73.137.112	4	2	22	26	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03909	0.93900	41.9845	0.0448
10.73.137.112	4	2	23	27	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03904	0.98500	41.9663	0.0356
10.73.137.112	4	3	24	30	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03892	-0.40900	41.7437	0.0204
10.73.137.112	4	3	25	31	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03896	-0.45425	41.6510	0.0420
10.73.137.112	4	3	26	32	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03895	-0.44575	41.7735	0.0316
10.73.137.112	4	3	27	33	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03888	-0.37700	40.6550	0.0392
10.73.137.112	4	3	28	34	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	-0.43425	41.6755	0.0478
10.73.137.112	4	3	29	35	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	-0.43150	42.1760	0.0377
10.73.137.112	4	3	30	36	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03890	-0.39975	41.6240	0.0488
10.73.137.112	4	3	31	37	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03895	-0.44200	42.1395	0.0586
10.73.137.112	4	4	32	40	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.10375	42.5977	0.0462
10.73.137.112	4	4	34	42	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03911	0.11050	42.6082	0.0635
10.73.137.112	4	4	37	45	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	0.09075	41.8160	0.0179
10.73.137.112	4	4	39	47	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	0.09225	41.8050	0.0254
