IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.111	3	0	0	0	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03929	0.31350	27.3553	0.0155
10.73.137.111	3	0	1	1	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03926	0.33500	27.5297	0.0997
10.73.137.111	3	0	2	2	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03936	0.26700	27.4318	0.0625
10.73.137.111	3	0	3	3	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03927	0.32375	27.4797	0.1192
10.73.137.111	3	0	4	4	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03930	0.30775	27.5150	0.0847
10.73.137.111	3	0	5	5	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03927	0.31900	27.4705	0.0483
10.73.137.111	3	0	6	6	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03931	0.29750	27.5420	0.1229
10.73.137.111	3	0	7	7	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03924	0.34125	27.4150	0.0119
10.73.137.111	3	1	8	10	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	0.43300	27.2935	0.0738
10.73.137.111	3	1	9	11	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03898	0.41075	27.4413	0.0714
10.73.137.111	3	1	10	12	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03901	0.39350	27.4270	0.0985
10.73.137.111	3	1	11	13	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03900	0.39800	27.5497	0.0540
10.73.137.111	3	1	12	14	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03896	0.42175	27.4530	0.0891
10.73.137.111	3	1	13	15	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	0.43775	27.3258	0.0357
10.73.137.111	3	1	14	16	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03900	0.39825	27.5230	0.0973
10.73.137.111	3	1	15	17	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03901	0.39400	27.2982	0.0534
10.73.137.111	3	2	16	20	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03932	0.77850	27.3560	0.0317
10.73.137.111	3	2	17	21	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03933	0.76350	27.2920	0.0753
10.73.137.111	3	2	18	22	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03927	0.80975	27.3860	0.1304
10.73.137.111	3	2	19	23	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03933	0.77025	27.6375	0.0970
10.73.137.111	3	2	20	24	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03936	0.75025	27.5980	0.0294
10.73.137.111	3	2	21	25	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03934	0.76975	27.3380	0.0560
10.73.137.111	3	2	22	26	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03932	0.77125	27.6453	0.0499
10.73.137.111	3	2	23	27	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03929	0.79200	27.3807	0.1261
10.73.137.111	3	3	24	30	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03919	-0.23050	41.6470	0.0367
10.73.137.111	3	3	25	31	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03920	-0.24525	42.1695	0.0287
10.73.137.111	3	3	26	32	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03916	-0.20525	42.5240	0.0264
10.73.137.111	3	3	27	33	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03918	-0.22925	42.1992	0.0260
10.73.137.111	3	3	28	34	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	-0.18800	42.1163	0.0179
10.73.137.111	3	3	29	35	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03918	-0.22875	41.8933	0.0332
10.73.137.111	3	3	30	36	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03918	-0.21700	42.1847	0.0430
10.73.137.111	3	3	31	37	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03916	-0.20100	42.5957	0.0417
10.73.137.111	3	4	32	40	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03926	0.03650	42.0722	0.0406
10.73.137.111	3	4	33	41	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03923	0.06025	42.7775	0.0440
10.73.137.111	3	4	34	42	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03925	0.04275	42.2692	0.0237
10.73.137.111	3	4	35	43	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03926	0.03275	42.8102	0.0575
10.73.137.111	3	4	36	44	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03925	0.04525	42.7643	0.0426
10.73.137.111	3	4	37	45	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03927	0.02425	42.7147	0.0297
10.73.137.111	3	4	38	46	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03925	0.04075	42.7410	0.0263
10.73.137.111	3	4	39	47	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03928	0.01200	42.7230	0.0267
