IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.104	1	0	0	0	FBK	[Vbd_LN2T_corrected]	0.03937	1.38600	27.4311	0.0000
10.73.137.104	1	0	1	1	FBK	[Vbd_LN2T_corrected]	0.03925	1.45950	27.4311	0.0000
10.73.137.104	1	0	2	2	FBK	[Vbd_LN2T_corrected]	0.03939	1.37350	27.3711	0.0000
10.73.137.104	1	0	3	3	FBK	[Vbd_LN2T_corrected]	0.03937	1.39000	27.7111	0.0000
10.73.137.104	1	0	4	4	FBK	[Vbd_LN2T_corrected]	0.03936	1.39400	27.8811	0.0000
10.73.137.104	1	0	5	5	FBK	[Vbd_LN2T_corrected]	0.03937	1.38900	27.4011	0.0000
10.73.137.104	1	0	6	6	FBK	[Vbd_LN2T_corrected]	0.03931	1.43000	27.4111	0.0000
10.73.137.104	1	0	7	7	FBK	[Vbd_LN2T_corrected]	0.03941	1.36350	27.3611	0.0000
10.73.137.104	1	1	8	10	FBK	[Vbd_LN2T_corrected]	0.03850	0.94500	27.3711	0.0000
10.73.137.104	1	1	9	11	FBK	[Vbd_LN2T_corrected]	0.03843	0.98700	27.3711	0.0000
10.73.137.104	1	1	10	12	FBK	[Vbd_LN2T_corrected]	0.03847	0.96650	27.3511	0.0000
10.73.137.104	1	1	11	13	FBK	[Vbd_LN2T_corrected]	0.03851	0.93750	27.3611	0.0000
10.73.137.104	1	1	12	14	FBK	[Vbd_LN2T_corrected]	0.03847	0.96050	27.4611	0.0000
10.73.137.104	1	1	13	15	FBK	[Vbd_LN2T_corrected]	0.03846	0.97150	27.3411	0.0000
10.73.137.104	1	1	14	16	FBK	[Vbd_LN2T_corrected]	0.03849	0.95400	27.3711	0.0000
10.73.137.104	1	1	15	17	FBK	[Vbd_LN2T_corrected]	0.03840	0.99500	27.3711	0.0000
10.73.137.104	1	2	16	20	FBK	[Vbd_LN2T_corrected]	0.03900	0.19800	27.4211	0.0000
10.73.137.104	1	2	17	21	FBK	[Vbd_LN2T_corrected]	0.03904	0.18250	27.3411	0.0000
10.73.137.104	1	2	18	22	FBK	[Vbd_LN2T_corrected]	0.03894	0.23900	27.2611	0.0000
10.73.137.104	1	2	19	23	FBK	[Vbd_LN2T_corrected]	0.03897	0.22000	27.3811	0.0000
10.73.137.104	1	2	20	24	FBK	[Vbd_LN2T_corrected]	0.03898	0.22000	27.3511	0.0000
10.73.137.104	1	2	21	25	FBK	[Vbd_LN2T_corrected]	0.03900	0.20100	27.4711	0.0000
10.73.137.104	1	2	22	26	FBK	[Vbd_LN2T_corrected]	0.03902	0.19600	27.2711	0.0000
10.73.137.104	1	2	23	27	FBK	[Vbd_LN2T_corrected]	0.03898	0.21300	27.4111	0.0000
10.73.137.104	1	3	24	30	HPK	[Vbd_LN2T_corrected]	0.03882	1.40350	41.9798	0.0000
10.73.137.104	1	3	25	31	HPK	[Vbd_LN2T_corrected]	0.03880	1.41350	41.9298	0.0000
10.73.137.104	1	3	26	32	HPK	[Vbd_LN2T_corrected]	0.03881	1.41750	41.9598	0.0000
10.73.137.104	1	3	27	33	HPK	[Vbd_LN2T_corrected]	0.03885	1.37700	41.9098	0.0000
10.73.137.104	1	3	28	34	HPK	[Vbd_LN2T_corrected]	0.03886	1.37600	41.9798	0.0000
10.73.137.104	1	3	29	35	HPK	[Vbd_LN2T_corrected]	0.03886	1.37100	41.9798	0.0000
10.73.137.104	1	3	30	36	HPK	[Vbd_LN2T_corrected]	0.03880	1.41450	42.0398	0.0000
10.73.137.104	1	3	31	37	HPK	[Vbd_LN2T_corrected]	0.03882	1.40100	41.8698	0.0000
10.73.137.104	1	4	32	40	HPK	[Vbd_LN2T_corrected]	0.03927	0.41100	42.0498	0.0000
10.73.137.104	1	4	33	41	HPK	[Vbd_LN2T_corrected]	0.03937	0.32250	42.3298	0.0000
10.73.137.104	1	4	34	42	HPK	[Vbd_LN2T_corrected]	0.03927	0.40450	42.0598	0.0000
10.73.137.104	1	4	35	43	HPK	[Vbd_LN2T_corrected]	0.03925	0.42200	42.4498	0.0000
10.73.137.104	1	4	36	44	HPK	[Vbd_LN2T_corrected]	0.03923	0.45000	42.0798	0.0000
10.73.137.104	1	4	37	45	HPK	[Vbd_LN2T_corrected]	0.03925	0.42400	42.0098	0.0000
10.73.137.104	1	4	38	46	HPK	[Vbd_LN2T_corrected]	0.03924	0.44000	42.0498	0.0000
10.73.137.104	1	4	39	47	HPK	[Vbd_LN2T_corrected]	0.03921	0.47500	42.0298	0.0000
