IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.109	2	0	0	0	FBK	[Vbd_LN2T_corrected]	0.03910	0.80355	27.7011	0.0000
10.73.137.109	2	0	1	1	FBK	[Vbd_LN2T_corrected]	0.03913	0.78264	27.3711	0.0000
10.73.137.109	2	0	2	2	FBK	[Vbd_LN2T_corrected]	0.03913	0.78045	27.8311	0.0000
10.73.137.109	2	0	3	3	FBK	[Vbd_LN2T_corrected]	0.03911	0.79227	27.4811	0.0000
10.73.137.109	2	0	4	4	FBK	[Vbd_LN2T_corrected]	0.03915	0.76909	27.7711	0.0000
10.73.137.109	2	0	5	5	FBK	[Vbd_LN2T_corrected]	0.03911	0.79800	27.3411	0.0000
10.73.137.109	2	0	6	6	FBK	[Vbd_LN2T_corrected]	0.03909	0.80518	27.5511	0.0000
10.73.137.109	2	0	7	7	FBK	[Vbd_LN2T_corrected]	0.03911	0.79682	27.2611	0.0000
10.73.137.109	2	1	8	10	FBK	[Vbd_LN2T_corrected]	nan	nan	nan	0.0000
10.73.137.109	2	1	9	11	FBK	[Vbd_LN2T_corrected]	nan	nan	nan	0.0000
10.73.137.109	2	1	10	12	FBK	[Vbd_LN2T_corrected]	0.03945	-0.33555	27.8611	0.0000
10.73.137.109	2	1	11	13	FBK	[Vbd_LN2T_corrected]	nan	nan	nan	0.0000
10.73.137.109	2	1	12	14	FBK	[Vbd_LN2T_corrected]	nan	nan	nan	0.0000
10.73.137.109	2	1	13	15	FBK	[Vbd_LN2T_corrected]	0.03947	-0.34436	27.6911	0.0000
10.73.137.109	2	1	14	16	FBK	[Vbd_LN2T_corrected]	nan	nan	nan	0.0000
10.73.137.109	2	1	15	17	FBK	[Vbd_LN2T_corrected]	nan	nan	nan	0.0000
10.73.137.109	2	2	16	20	HPK	[Vbd_LN2T_corrected]	0.03914	0.14027	41.8398	0.0000
10.73.137.109	2	2	17	21	HPK	[Vbd_LN2T_corrected]	0.03914	0.14236	41.8798	0.0000
10.73.137.109	2	2	18	22	HPK	[Vbd_LN2T_corrected]	0.03913	0.14936	41.8698	0.0000
10.73.137.109	2	2	19	23	HPK	[Vbd_LN2T_corrected]	0.03915	0.13273	42.3098	0.0000
10.73.137.109	2	2	20	24	HPK	[Vbd_LN2T_corrected]	0.03915	0.13745	42.3298	0.0000
10.73.137.109	2	2	21	25	HPK	[Vbd_LN2T_corrected]	0.03912	0.16473	41.9498	0.0000
10.73.137.109	2	2	22	26	HPK	[Vbd_LN2T_corrected]	0.03913	0.15845	42.3898	0.0000
10.73.137.109	2	2	23	27	HPK	[Vbd_LN2T_corrected]	0.03915	0.13382	41.9998	0.0000
10.73.137.109	2	3	24	30	HPK	[Vbd_LN2T_corrected]	0.03898	0.28645	41.8098	0.0000
10.73.137.109	2	3	25	31	HPK	[Vbd_LN2T_corrected]	0.03896	0.30209	42.6898	0.0000
10.73.137.109	2	3	26	32	HPK	[Vbd_LN2T_corrected]	0.03895	0.30909	41.7198	0.0000
10.73.137.109	2	3	27	33	HPK	[Vbd_LN2T_corrected]	0.03895	0.31609	41.7979	0.0000
10.73.137.109	2	3	28	34	HPK	[Vbd_LN2T_corrected]	0.03899	0.27918	42.5498	0.0000
10.73.137.109	2	3	29	35	HPK	[Vbd_LN2T_corrected]	0.03898	0.28982	41.7698	0.0000
10.73.137.109	2	3	30	36	HPK	[Vbd_LN2T_corrected]	0.03899	0.27473	42.8098	0.0000
10.73.137.109	2	3	31	37	HPK	[Vbd_LN2T_corrected]	0.03896	0.30118	41.7398	0.0000
10.73.137.109	2	4	32	40	HPK	[Vbd_LN2T_corrected]	0.03934	0.98982	41.8498	0.0000
10.73.137.109	2	4	33	41	HPK	[Vbd_LN2T_corrected]	0.03934	0.98382	41.6298	0.0000
10.73.137.109	2	4	34	42	HPK	[Vbd_LN2T_corrected]	0.03937	0.96418	42.3998	0.0000
10.73.137.109	2	4	35	43	HPK	[Vbd_LN2T_corrected]	0.03939	0.94155	42.0698	0.0000
10.73.137.109	2	4	36	44	HPK	[Vbd_LN2T_corrected]	0.03936	0.97470	42.2398	0.0000
10.73.137.109	2	4	37	45	HPK	[Vbd_LN2T_corrected]	0.03934	0.98727	41.7498	0.0000
10.73.137.109	2	4	38	46	HPK	[Vbd_LN2T_corrected]	0.03936	0.97009	42.1498	0.0000
10.73.137.109	2	4	39	47	HPK	[Vbd_LN2T_corrected]	0.03935	0.98427	41.8298	0.0000
