IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.105	1	0	0	0	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03888	0.53433	27.4132	0.0665
10.73.137.105	1	0	1	1	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03890	0.51800	27.4283	0.0777
10.73.137.105	1	0	2	2	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03884	0.55411	27.3999	0.0563
10.73.137.105	1	0	3	3	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03888	0.52900	27.4032	0.0558
10.73.137.105	1	0	4	4	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03887	0.53967	27.3684	0.0610
10.73.137.105	1	0	5	5	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03890	0.52533	27.4310	0.0638
10.73.137.105	1	0	6	6	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03886	0.54556	27.4277	0.0575
10.73.137.105	1	0	7	7	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03886	0.54744	27.4338	0.0855
10.73.137.105	1	1	8	10	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03871	0.80944	27.3927	0.0820
10.73.137.105	1	1	10	12	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03871	0.81500	27.4384	0.0769
10.73.137.105	1	1	13	15	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03869	0.82822	27.3563	0.1026
10.73.137.105	1	1	15	17	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03871	0.80900	27.3084	0.0827
10.73.137.105	1	2	17	21	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03874	0.34911	42.0113	0.0392
10.73.137.105	1	2	19	23	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03875	0.34456	42.0868	0.0634
10.73.137.105	1	2	20	24	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03872	0.37233	42.0453	0.0486
10.73.137.105	1	2	22	26	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00]	0.03875	0.34522	42.0430	0.0502
