IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.109	2	0	0	0	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03909	0.81837	27.5266	0.1310
10.73.137.109	2	0	1	1	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.79300	27.4543	0.0706
10.73.137.109	2	0	2	2	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.79137	27.6924	0.1260
10.73.137.109	2	0	3	3	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.79187	27.4621	0.0728
10.73.137.109	2	0	4	4	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03916	0.77375	27.6371	0.0846
10.73.137.109	2	0	5	5	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03911	0.80750	27.4549	0.0910
10.73.137.109	2	0	6	6	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03909	0.81350	27.6876	0.1024
10.73.137.109	2	0	7	7	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03910	0.80750	27.4263	0.0892
10.73.137.109	2	1	8	10	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	9	11	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	10	12	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03946	-0.33025	27.5324	0.2464
10.73.137.109	2	1	11	13	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	12	14	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	13	15	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03946	-0.32950	27.4752	0.1848
10.73.137.109	2	1	14	16	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	15	17	FBK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	2	16	20	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	0.15650	41.8509	0.1389
10.73.137.109	2	2	17	21	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.16875	41.9264	0.0456
10.73.137.109	2	2	18	22	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.17400	41.9844	0.1059
10.73.137.109	2	2	19	23	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	0.15213	42.3680	0.0341
10.73.137.109	2	2	20	24	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	0.15450	42.3838	0.0974
10.73.137.109	2	2	21	25	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.17163	42.0538	0.0849
10.73.137.109	2	2	22	26	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.16737	42.4091	0.0916
10.73.137.109	2	2	23	27	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03916	0.13762	42.1990	0.0767
10.73.137.109	2	3	24	30	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03898	0.29163	41.8227	0.0881
10.73.137.109	2	3	25	31	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03895	0.31675	42.6008	0.0458
10.73.137.109	2	3	26	32	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03893	0.33775	41.7796	0.0790
10.73.137.109	2	3	27	33	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	0.33687	41.8126	0.0851
10.73.137.109	2	3	28	34	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03899	0.28450	42.3738	0.0627
10.73.137.109	2	3	29	35	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03896	0.31188	41.7938	0.0571
10.73.137.109	2	3	30	36	HPK	[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03899	0.28825	42.5027	0.1600
