IP	File_name	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Run	Endpoint_timestamp	Start_time	End_time	Bias_data_quality	Bias_min_I	Bias_max_I	Vbd_bias(DAC)	Vbd_bias(V)	Vbd_bias_error(V)	Bias_conversion_slope	Bias_conversion_intercept	Trim_data_quality	Trim_min_I	Trim_max_I	Fit_status	Poly_Vbd_trim(DAC)	Poly_Vbd_trim_error(DAC)	Pulse_Vbd_trim(DAC)	Pulse_Vbd_trim_error(DAC)	Vbd(V)	Vbd_error(V)
10.73.137.109	apa_2_afe_0_ch_0.root	2	0	0	0	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_1.root	2	0	1	1	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_2.root	2	0	2	2	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_3.root	2	0	3	3	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_4.root	2	0	4	4	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_5.root	2	0	5	5	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_6.root	2	0	6	6	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_0_ch_7.root	2	0	7	7	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_8.root	2	1	8	10	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_9.root	2	1	9	11	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_10.root	2	1	10	12	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_11.root	2	1	11	13	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_12.root	2	1	12	14	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_13.root	2	1	13	15	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_14.root	2	1	14	16	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_1_ch_15.root	2	1	15	17	FBK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_16.root	2	2	16	20	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_17.root	2	2	17	21	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_18.root	2	2	18	22	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_19.root	2	2	19	23	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_20.root	2	2	20	24	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_21.root	2	2	21	25	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_22.root	2	2	22	26	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_2_ch_23.root	2	2	23	27	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_24.root	2	3	24	30	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_25.root	2	3	25	31	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_26.root	2	3	26	32	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_27.root	2	3	27	33	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_28.root	2	3	28	34	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_29.root	2	3	29	35	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_30.root	2	3	30	36	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_3_ch_31.root	2	3	31	37	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_32.root	2	4	32	40	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_33.root	2	4	33	41	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_34.root	2	4	34	42	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_35.root	2	4	35	43	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_36.root	2	4	36	44	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_37.root	2	4	37	45	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_38.root	2	4	38	46	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10.73.137.109	apa_2_afe_4_ch_39.root	2	4	39	47	HPK	Apr-21-2024-run01	Apr-21-2024_2352	Missing_file	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
