IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.109	2	0	0	0	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03907	0.80250	27.4748	0.1538
10.73.137.109	2	0	1	1	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03915	0.74750	27.4040	0.0499
10.73.137.109	2	0	2	2	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.76250	27.6007	0.0454
10.73.137.109	2	0	3	3	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03915	0.74625	27.4215	0.0581
10.73.137.109	2	0	4	4	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03915	0.75275	27.5667	0.0361
10.73.137.109	2	0	5	5	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.77275	27.3865	0.0241
10.73.137.109	2	0	6	6	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.76225	27.6555	0.1027
10.73.137.109	2	0	7	7	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03910	0.78575	27.3670	0.0338
10.73.137.109	2	1	8	10	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	9	11	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	10	12	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03947	-0.36625	27.4503	0.3362
10.73.137.109	2	1	11	13	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	12	14	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	13	15	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03948	-0.37075	27.5125	0.1394
